file,ticker,year,month,quarter,period,management_speaker,exchange_idx,mgmt_start,mgmt_end,duration_sec,word_count,answer_text,pause_latency_sec,speech_rate_wpm,filler_rate_per_min,intra_pause_count,intra_pause_mean_sec,intra_pause_max_sec,intra_pause_total_sec,mean_pitch_hz,pitch_variance_hz,mean_rms_energy,z_pause_latency_sec,norm_type_pause_latency_sec,z_speech_rate_wpm,norm_type_speech_rate_wpm,z_filler_rate_per_min,norm_type_filler_rate_per_min,z_intra_pause_count,norm_type_intra_pause_count,z_intra_pause_mean_sec,norm_type_intra_pause_mean_sec,z_intra_pause_max_sec,norm_type_intra_pause_max_sec,z_intra_pause_total_sec,norm_type_intra_pause_total_sec,z_mean_pitch_hz,norm_type_mean_pitch_hz,z_pitch_variance_hz,norm_type_pitch_variance_hz,z_mean_rms_energy,norm_type_mean_rms_energy,acoustic_composite_z
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,0,76.289,121.48,45.191,98,"Eric, thanks for your comments. I think it's all about the product. The product lineup is incredibly strong. They're strongest ever. The 17 Pro is the most pro phone we've ever done. It's incredible in the design. The iPhone Air feels so thin and so light in your hand, it feels like it's going to fly away. And then the 17 phone is an incredible value and takes several of the features that were reserved for Pro before and brings them down to the consumer lineup. So overall, strongest iPhone lineup ever, and it's resonating around the world.",1.704,130.11,5.31,15,0.775,2.764,11.628,125.74,23.47,0.079282,0.0517,speaker,0.2633,speaker,-0.0122,speaker,-0.0358,speaker,-0.6615,speaker,0.5909,speaker,-0.2168,speaker,0.484,speaker,-0.142,speaker,2.5763,speaker,0.7038
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,1,231.134,264.884,33.75,73,"Yeah, Ben, I was just there. It's incredibly vibrant and dynamic. The store traffic is up significantly year over year. The iPhone 17 has been, the family has been very well received there. We do believe that we'll return to growth in Q1 and that is largely based on the reception of the iPhone there. And so I couldn't be more pleased with with how things are going there in the early going.",0.742,129.78,5.33,11,0.746,1.601,8.205,116.81,14.14,0.059985,-0.4644,speaker,0.2493,speaker,-0.0071,speaker,-0.3907,speaker,-0.8389,speaker,-0.6266,speaker,-0.567,speaker,-0.4678,speaker,-0.4284,speaker,0.1768,speaker,0.0145
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,3,464.92,524.287,59.367,118,"Okay. We did set a September quarter record for Upgraders, and so it was a great quarter from that point of view. It's really too early in the cycle on 17 to make any comments about Upgraders or Switchers. In terms of channel inventory, we ended the quarter toward the low end of the targeted range, obviously, because we had constraints on several models of the 16 and the 17. And for complete transparency and clarity, we're constrained today on several models of the iPhone 17. There's not a ramp issue. It's just we have very strong demand and we're working very hard to fulfill all the orders that we have. Great. Thank you, Tim. Thank you, Kevin.",1.265,119.26,2.02,19,0.904,2.481,17.176,113.72,14.75,0.058082,-0.1838,speaker,-0.1961,speaker,-0.8532,speaker,0.319,speaker,0.1274,speaker,0.2946,speaker,0.3509,speaker,-0.7971,speaker,-0.4096,speaker,-0.0599,speaker,-0.1941
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,5,629.857,674.035,44.178,95,"Yeah, the greater China revenue was down 4% in the year of year in the September quarter. It was driven by iPhone. And if you look at the iPhone, the majority of the sequential year over year change was due to supply constraints that I mentioned earlier. And so it was basically supply constraints that that drove the results. We're thrilled with what we're seeing right now with traffic being up significantly year over year and the reception of the 17 family. We expect to return to growth this quarter. Great. Thank you. Thank you.",1.131,129.02,5.43,10,1.127,5.142,11.269,113.21,15.86,0.051009,-0.2557,speaker,0.2171,speaker,0.0184,speaker,-0.4794,speaker,1.4912,speaker,3.0804,speaker,-0.2535,speaker,-0.8515,speaker,-0.3756,speaker,-0.9394,speaker,-0.4457
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,6,737.367,751.171,13.804,23,"This is Tim. The advertising category, which is a combination of third party and first party, did set a record during the quarter.",1.805,99.97,0.0,7,0.672,1.001,4.703,115.43,18.12,0.062783,0.1059,speaker,-1.0127,speaker,-1.3696,speaker,-0.7455,speaker,-1.2915,speaker,-1.2548,speaker,-0.9253,speaker,-0.6148,speaker,-0.3062,speaker,0.5247,speaker,-0.091
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,7,764.637,779.673,15.036,40,"I'm sure I'm not saying that. I'm just saying that the combination of the two set a record. We don't, I'm dodging the question intentionally because we don't split it at that level. Okay. Okay. Understood. Thank you. Thank you.",0.337,159.62,7.98,1,0.5,0.5,0.5,118.52,16.4,0.063533,-0.6817,speaker,1.5125,speaker,0.6703,speaker,-1.2778,speaker,-2.3434,speaker,-1.7792,speaker,-1.3554,speaker,-0.2855,speaker,-0.359,speaker,0.6179,speaker,0.4371
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,8,819.228,866.14,46.912,83,"Yeah, the subsidies play a favorable role. The subsidies, as you know, are sort of across multiple categories from PCs to tablets to smartwatches and smartphones. And however, it's important to note, they only apply to certain price ranges. And so there's a maximum price and there's several of our products that sell above that price and therefore not eligible for a subsidy. But it does have a favorable effect and it's clearly, at least from our vantage point, driving some consumer demand.",1.215,106.16,5.12,14,0.931,2.527,13.037,114.57,18.97,0.06325,-0.2107,speaker,-0.7506,speaker,-0.0608,speaker,-0.1245,speaker,0.2925,speaker,0.3428,speaker,-0.0726,speaker,-0.7065,speaker,-0.2801,speaker,0.5828,speaker,-0.2257
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,9,989.176,1042.45,53.274,109,"David, I'll take this one. You're right. It goes from 1 1 to a projection of 1 4. And the 1 4 is based on sort of what we know right now and where the tariff rates and policies and and so forth are. So it assumes a. It's stable kind of environment for the quarter. It does comprehend the change that was just made, which we're very encouraged to see with the tariffs moving from 20% to 10% in China. And so that is factored in. And that is one of the reasons why it's not linear to volume, if you will. Does that make sense? Got it.",0.709,122.76,7.88,17,0.88,2.631,14.965,117.57,23.83,0.063505,-0.4821,speaker,-0.0479,speaker,0.6447,speaker,0.1416,speaker,-0.0194,speaker,0.4516,speaker,0.1247,speaker,-0.3868,speaker,-0.1309,speaker,0.6145,speaker,-0.0118
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,12,1075.137,1138.975,63.838,133,"We always like to remind people that buy an iPhone all the other things that we offer, and so you can bet that we're doing that. From a Mac point of view, the challenges that last year was sort of the mother of all Mac launches. All of these from Mac Mini to iMac to all the MacBook Pros all launched literally at the same time. And this year that compares to launching the 14 inch MacBook Pro. And so there's a very difficult compare. Of course, in the long run, I'm very bullish on the Mac. And you can see that the Mac, again, last quarter outgrew the market. And, and so we feel really well about how Mac is positioned, but this certain quarter is a extremely difficult compare. And Tim,",1.4,125.0,5.64,24,0.807,2.222,19.365,118.17,15.8,0.071164,-0.1114,speaker,0.0469,speaker,0.0721,speaker,0.7626,speaker,-0.4658,speaker,0.0235,speaker,0.5749,speaker,-0.3228,speaker,-0.3774,speaker,1.5668,speaker,0.2315
AAPL_2025_10_30_earnings_call_qa_features.json,AAPL,2025,10,4,2025_Q4,SPEAKER_00,15,1180.066,1226.995,46.929,82,"To be clear, the constraint was not related to manufacturing capacity per se. It was that we called the number of iPhone 16s that we were going to make and were a bit short of where the demand really was. So we could have sold more. We're not publicly at least estimating the extent of that. And then on iPhone 17 family, the demand is very strong. And so we obviously came out of the Q4 timeframe with lots of back orders.",1.688,104.84,2.56,15,0.907,1.601,13.606,120.77,26.12,0.063518,0.0431,speaker,-0.8065,speaker,-0.7152,speaker,-0.0358,speaker,0.1457,speaker,-0.6266,speaker,-0.0144,speaker,-0.0457,speaker,-0.0606,speaker,0.6161,speaker,0.0044
